Category,Name,Tags,Services,Eligibility,LatLng,Lat,Lng,Address,Hours of Operation,Phone,Website,Email,Social Media,Rating,Facebook,Instagram,Twitter,Source
HOTLINES,2-1-1 Arizona,,"Referral services hotline: Food, clothing, help paying bills, housing & shelter, domestic violence & human trafficking, health & dental, disability related services, veteran & military services, employment services, mental health & support groups, substance use disorder, government & tribal services, individual & family services",,,,,,,211,https://211arizona.org/,,,,,,,SHOW Clinic
HOTLINES,Sexual Abuse Hotline-Empact,,"24- hour hotline (480) 784-1500 OR (800) 273-8255 
",,"33.34883, -112.49123",,,Maricopa County,,480-784-1514,,,,,,,,SHOW Clinic
HOTLINES,Sexual Abuse Hotline-Empact,,,,"32.8085851, -111.4426212",,,Pinal County,,520-316-6068,,,,,,,,SHOW Clinic
HOTLINES,Victims of Sexual Assault or Domestic Violence Hotline,,,,,,,,,480-736-4949 ,,,,,,,,SHOW Clinic
HOTLINES,National Sexual Assault Hotline,,,,,,,,,1-800-656-4673,https://www.rainn.org/about-national-sexual-assault-telephone-hotline,,,,,,,SHOW Clinic
HOTLINES,Behavioral Health Crisis Hotline,,,,"33.34883, -112.49123",,,Maricopa County,,602-222-9444,https://www.azahcccs.gov/BehavioralHealth/crisis.html ,,,,,,,SHOW Clinic
HOTLINES,Behavioral Health Crisis Hotline,,,,,,,"Pinal, Gila, Yuma, La Paz Counties",,1-866-495-6735,,,,,,,,SHOW Clinic
HOTLINES,Behavioral Health Crisis Hotline,,,,"32.8461131, -109.6993139",,,Gila River,,1-800-259-3449,,,,,,,,SHOW Clinic
HOTLINES,Department of Child Safety (DCS),,State of Arizona Child Abuse Hotline,,,,,,,1-888-767-2445 (1-888-SOS-CHILD),https://dcs.az.gov/,,,,,,,SHOW Clinic
HOTLINES,ADHS Pregnancy and Breastfeeding Hotline,,,,,,,,,1-800-833-4642,https://www.azdhs.gov/prevention/nutrition-physical-activity/breastfeeding/index.php,,,,,,,SHOW Clinic
HOTLINES,Suicide Prevention Hotline,,,,,,,,,1-800-273-8255,https://suicidepreventionlifeline.org/,,,,,,,SHOW Clinic
HOTLINES,Fraud Hotline,,10:00 AM to 4:00 PM Eastern Standard Time TTY for the deaf/hard of hearing: 1-866-2101,,,,,,,1-800-269-0271,http://oig.ssa.gov/report ,,,,,,,SHOW Clinic
HOTLINES,National 24-hour Domestic Violence Hotline,,,,,,,,,"1- 800-799-7233 
1-800-787-3224",http://www.thehotline.org/,,,,,,,SHOW Clinic
HOTLINES,Emergency Shelter Hotline,,,,,,,,,1- 800-799-7233,,,,,,,,SHOW Clinic
AHCCCS PLANS,ACUTE CARE/ INTEGRATED HEALTH PLANS,,"Find a Provider 
(Search within the 10-mile radius)",,,,,,,,,,,,,,,SHOW Clinic
AHCCCS PLANS,Care 1st Arizona,,https://azonline.care1st.com/az/provider_search_public,,,,,,,602-778-1800,http://www.care1st.com ,,,,,,,SHOW Clinic
AHCCCS PLANS,Cenpatico Integrated Care,,http://apps.cenpaticointegratedcareaz.com/findadoc/legacy?busLine=AZ,,,,,,,866-495-6738,http://www.cenpaticointegratedcareaz.com ,,,,,,,SHOW Clinic
AHCCCS PLANS,DCS/CMDP,,https://app.azdes.gov/dcyf/cmdpe/provider/provdirectory.aspx,,,,,,,602-351-2245,https://dcs.az.gov/cmdp,,,,,,,SHOW Clinic
AHCCCS PLANS,United Health Care (UHC),,http://americhoice.com/find_doctor/first.jsp?xplan=uhcaz&xtitle=Doctor,,,,,,,800-348-4058,http://www.uhccommunityplan.com,,,,,,,SHOW Clinic
AHCCCS PLANS,University Family Care,,http://www.uahealthplans.com/PLUe/qPLU.aspx?netId=2,,,,,,,800-582-8686,http://www.ufcaz.com,,,,,,,SHOW Clinic
AHCCCS PLANS,CRS Fully Integrated,,http://americhoice.com/find_doctor/first.jsp?xplan=uhcaz&xtitle=Doctor,,,,,,,800-348-4058,http://www.uhccommunityplan.com,,,,,,,SHOW Clinic
AHCCCS PLANS,CRS Partial Acute,,http://americhoice.com/find_doctor/first.jsp?xplan=uhcaz&xtitle=Doctor,,,,,,,800-348-4058,http://www.uhccommunityplan.com,,,,,,,SHOW Clinic
AHCCCS PLANS,Health Choice Arizona,,http://www.hcprovidersearch.com/Provider/ShowProviders?sLOB=HCA,,,,,,,480-968-6866,http://www.healthchoiceaz.com,,,,,,,SHOW Clinic
AHCCCS PLANS,Health Choice Integrated,,http://www.hcprovidersearch.com/Provider/ShowProviders?sLOB=HCB,,,,,,,877-923-1400,http://www.healthchoiceintegratedcare.com ,,,,,,,SHOW Clinic
AHCCCS PLANS,Health Net Access,,https://providersearch.healthnetaccess.com/,,,,,,,888-788-4408,http://www.healthnetaccess.com,,,,,,,SHOW Clinic
AHCCCS PLANS,Mercy Care Plan,,https://www.mercycareplan.com/find-a-provider-mcp,,,,,,,602-263-3000,http://www.mercycareplan.com,,,,,,,SHOW Clinic
