Resource Name,Contact Phone,Website Address,Location (if applicable),NOTES
HOTLINES,,,,
2-1-1 Arizona,211,https://211arizona.org/,,"Referral services hotline: Food, clothing, help paying bills, housing & shelter, domestic violence & human trafficking, health & dental, disability related services, veteran & military services, employment services, mental health & support groups, substance use disorder, government & tribal services, individual & family services"
Sexual Abuse Hotline-Empact,480-784-1514,,Maricopa County,"24- hour hotline (480) 784-1500 OR (800) 273-8255 
"
,520-316-6068,,Pinal County,
Victims of Sexual Assault or Domestic Violence Hotline,480-736-4949 ,,,
National Sexual Assault Hotline,1-800-656-4673,https://www.rainn.org/about-national-sexual-assault-telephone-hotline,,
Behavioral Health Crisis Hotline,602-222-9444,https://www.azahcccs.gov/BehavioralHealth/crisis.html ,Maricopa County,
,1-866-495-6735,,"Pinal, Gila, Yuma, La Paz Counties",
,1-800-259-3449,,Gila River,
Department of Child Safety (DCS),1-888-767-2445 (1-888-SOS-CHILD),https://dcs.az.gov/,,State of Arizona Child Abuse Hotline
ADHS Pregnancy and Breastfeeding Hotline,1-800-833-4642,https://www.azdhs.gov/prevention/nutrition-physical-activity/breastfeeding/index.php,,
Suicide Prevention Hotline,1-800-273-8255,https://suicidepreventionlifeline.org/,,
Fraud Hotline,1-800-269-0271,http://oig.ssa.gov/report ,,10:00 AM to 4:00 PM Eastern Standard Time TTY for the deaf/hard of hearing: 1-866-2101
National 24-hour Domestic Violence Hotline,"1- 800-799-7233 
1-800-787-3224",http://www.thehotline.org/,,
Emergency Shelter Hotline,1- 800-799-7233,,,
,,,,
AHCCCS PLANS,,,,
ACUTE CARE/ INTEGRATED HEALTH PLANS,,,,"Find a Provider 
(Search within the 10-mile radius)"
Care 1st Arizona,602-778-1800,http://www.care1st.com ,,https://azonline.care1st.com/az/provider_search_public
Cenpatico Integrated Care,866-495-6738,http://www.cenpaticointegratedcareaz.com ,,http://apps.cenpaticointegratedcareaz.com/findadoc/legacy?busLine=AZ
DCS/CMDP,602-351-2245,https://dcs.az.gov/cmdp,,https://app.azdes.gov/dcyf/cmdpe/provider/provdirectory.aspx
United Health Care (UHC),800-348-4058,http://www.uhccommunityplan.com,,http://americhoice.com/find_doctor/first.jsp?xplan=uhcaz&xtitle=Doctor
University Family Care,800-582-8686,http://www.ufcaz.com,,http://www.uahealthplans.com/PLUe/qPLU.aspx?netId=2
CRS Fully Integrated,800-348-4058,http://www.uhccommunityplan.com,,http://americhoice.com/find_doctor/first.jsp?xplan=uhcaz&xtitle=Doctor
CRS Partial Acute,800-348-4058,http://www.uhccommunityplan.com,,http://americhoice.com/find_doctor/first.jsp?xplan=uhcaz&xtitle=Doctor
Health Choice Arizona,480-968-6866,http://www.healthchoiceaz.com,,http://www.hcprovidersearch.com/Provider/ShowProviders?sLOB=HCA
Health Choice Integrated,877-923-1400,http://www.healthchoiceintegratedcare.com ,,http://www.hcprovidersearch.com/Provider/ShowProviders?sLOB=HCB
Health Net Access,888-788-4408,http://www.healthnetaccess.com,,https://providersearch.healthnetaccess.com/
Mercy Care Plan,602-263-3000,http://www.mercycareplan.com,,https://www.mercycareplan.com/find-a-provider-mcp
Mercy Maricopa Integrated,800-564-5465,http://www.mercymaricopa.org,,https://www.mercymaricopa.org/find-provider-mmic
,,,,
LONG TERM CARE HEALTH PLANS (Program Contractors),,,,"Find a Provider 
(Search within the 10-mile radius)"
LTC DD DES,844-770-9500,https://www.azdes.gov/ddd,,https://ddd.azdes.gov/Organization/DDD/DDDProviderSearch
UHC LTC,800-293-3740,http://www.uhccommunityplan.com ,,http://www.americhoice.com/find_doctor/first.jsp?xplan=uhcaz&xtitle=Doctor
Bridgeway Health Solution-L,866-475-3129,http://www.bridgewayhs.com,,https://providersearch.bridgewayhs.com/
Mercy Care Plan LTC,602-263-3000,http://www.mercycareplan.com,,https://www.mercycareplan.com/find-a-provider-mcp
,,,,
GENERAL RESOURCES,,,,
Need help paying bills,,http://www.needhelppayingbills.com/index.html,,Provides information and resources regarding assistance programs available at the state or local level.  For additional questions contact at info@needhelppayingbills.com
INSURANCE APPLICATION,,,,
AHCCCS/ALTCS,602-417-4000; 602-417-7200,"https://www.azahcccs.gov/
www.healthearizonaplus.gov",,How to apply: https://www.azahcccs.gov/Members/ GetCovered/apply.html
Empowerment Center at Empowerment Systems,"480-367-6937 
Fax: 480-982- 7320",https://empowermentsystems.org/,"2066 W Apache Trail, Ste. 116., Apache Junction, AZ 85120 ","Assistance with AHCCCS and other  insurance applications, computer lab  for job searching, produce drop every 4th Wednesday of the month."
DES,,,,
Card Replacement,602-417-4000,myahcccs.com,,
Customer service,602-542-9935,,,Family Assistance Administration/Benefit eligibility
Fraud Hotline,1-800-269-0271,http://oig.ssa.gov/report,,"10:00 AM to 4:00 PM Eastern Standard Time 
TTY for the deaf/hard of hearing: 1-866-2101"
DES Info Line,602-542-4791,https://des.az.gov/about-des/contact-us/des-program-and-services-contact-numbers,,The website provided for this has the direct numbers for all types of healthcare information. The list contains upwards of 20 different  telephone numbers for various healthcare needs
IDENTIFICATION,,,,
